#curie_map:
#  SIO: http://semanticscience.org/resource/SIO_
#  RO: http://purl.obolibrary.org/obo/RO_
#  BFO: http://purl.obolibrary.org/obo/BFO_
#  skos: http://www.w3.org/2004/02/skos/core#
#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_provider: http://obofoundry.org/ontology/ro
#mapping_set_group: ro-sio-mappings
#mapping_set_title: 'RO SIO Mappings'
#object_source: http://purl.obolibrary.org/obo/ro.owl
#subject_source: http://semanticscience.org/ontology/sio.owl
subject_id	subject_label	predicate_id	object_id	object_label	match_type	comments
BFO:0000051	has part	owl:equivalentProperty	SIO:000028	has part	Curated	.
RO:0001000	derives from	owl:equivalentProperty	SIO:000244	is derived from	Curated	.
BFO:0000054	realized in	owl:equivalentProperty	SIO:000356	is realized in	Curated	.
RO:0002131	overlaps	owl:equivalentProperty	SIO:000325	overlaps with	Curated	.
RO:0001025	located in	owl:equivalentProperty	SIO:000061	is located in	Curated	.
RO:0002090	immediately precedes	owl:equivalentProperty	SIO:000250	immediately precedes	Curated	.
RO:0002351	has member	owl:equivalentProperty	SIO:000059	has member	Curated	.
RO:0002150	continuous with	owl:equivalentProperty	SIO:000652	is directly connected to	Curated	.
RO:0002087	immediately preceded by	owl:equivalentProperty	SIO:000251	is immediately preceded by	Curated	.
RO:0002180	has component	owl:equivalentProperty	SIO:000369	has component part	Curated	.
BFO:0000062	preceded by	owl:equivalentProperty	SIO:000249	is preceded by	Curated	.
RO:0002297	results in formation of	owl:equivalentProperty	SIO:000312	has product	Curated	.
RO:0002158	shares ancestor with	owl:equivalentProperty	SIO:010302	is homologous to	Curated	.
RO:0000057	has participant	owl:equivalentProperty	SIO:000132	has participant	Curated	.
RO:0002234	has output	owl:equivalentProperty	SIO:000229	has output	Curated	.
RO:0002233	has input	owl:equivalentProperty	SIO:000230	has input	Curated	.
RO:0002221	surrounds	owl:equivalentProperty	SIO:000324	surrounds	Curated	.
RO:0002219	surrounded by	owl:equivalentProperty	SIO:000323	is surrounded by	Curated	.
BFO:0000055	realizes	owl:equivalentProperty	SIO:000355	realizes	Curated	.
BFO:0000063	precedes	owl:equivalentProperty	SIO:000248	precedes	Curated	.
RO:0001015	location of	owl:equivalentProperty	SIO:000145	is location of	Curated	.
BFO:0000050	part of	owl:equivalentProperty	SIO:000068	is part of	Curated	.
RO:0002218	obsolete has active participant	owl:equivalentProperty	SIO:000139	has agent	Curated	.
RO:0002350	member of	owl:equivalentProperty	SIO:000095	is member of	Curated	.
RO:0002220	adjacent to	owl:equivalentProperty	SIO:000204	is adjacent to	Curated	.
